country,food_name,description,url
Albania,Mozzarella Fresca Perline,Per 1 oz - Calories: 70kcal | Fat: 5.00g | Carbs: 0.00g | Protein: 5.00g,https://foods.fatsecret.com/calories-nutrition/galbani/mozzarella-fresca-perline
Albania,Fresh Mozzarella,Per 1 oz - Calories: 70kcal | Fat: 5.00g | Carbs: 0.00g | Protein: 5.00g,https://foods.fatsecret.com/calories-nutrition/galbani/fresh-mozzarella
Albania,Low Moisture Part Skim Mozzarella Cheese,Per 1 oz - Calories: 80kcal | Fat: 6.00g | Carbs: 1.00g | Protein: 7.00g,https://foods.fatsecret.com/calories-nutrition/galbani/low-moisture-part-skim-mozzarella-cheese
Albania,Part Skim Ricotta Cheese,Per 1/4 cup - Calories: 80kcal | Fat: 4.00g | Carbs: 6.00g | Protein: 4.00g,https://foods.fatsecret.com/calories-nutrition/galbani/part-skim-ricotta-cheese
Albania,Reduced Fat String Cheese,Per 1 stick - Calories: 70kcal | Fat: 4.00g | Carbs: 1.00g | Protein: 8.00g,https://foods.fatsecret.com/calories-nutrition/galbani/reduced-fat-string-cheese
Albania,Mozzarella Fresca Marinated,Per 1 oz - Calories: 130kcal | Fat: 5.00g | Carbs: 0.00g | Protein: 5.00g,https://foods.fatsecret.com/calories-nutrition/galbani/mozzarella-fresca-marinated
Albania,Mozzarella & Parmesan Snack Cheese,Per 1 stick - Calories: 80kcal | Fat: 6.00g | Carbs: 1.00g | Protein: 6.00g,https://foods.fatsecret.com/calories-nutrition/galbani/mozzarella-and-parmesan-snack-cheese
Albania,Whole Milk Ricotta Cheese,Per 1/4 cup - Calories: 100kcal | Fat: 7.00g | Carbs: 4.00g | Protein: 4.00g,https://foods.fatsecret.com/calories-nutrition/galbani/whole-milk-ricotta-cheese
Albania,Reduced Fat Mozzarella Cheese,Per 1 cube - Calories: 80kcal | Fat: 4.00g | Carbs: 1.00g | Protein: 9.00g,https://foods.fatsecret.com/calories-nutrition/galbani/reduced-fat-mozzarella-cheese
Albania,Fat Free Ricotta Cheese,Per 1/4 cup - Calories: 45kcal | Fat: 0.00g | Carbs: 4.00g | Protein: 6.00g,https://foods.fatsecret.com/calories-nutrition/galbani/fat-free-ricotta-cheese
Albania,Pepper Jack Snack Cheese,Per 1 stick - Calories: 80kcal | Fat: 6.00g | Carbs: 2.00g | Protein: 5.00g,https://foods.fatsecret.com/calories-nutrition/galbani/pepper-jack-snack-cheese
Albania,Cheese Stick,Per 1 stick - Calories: 70kcal | Fat: 6.00g | Carbs: 1.00g | Protein: 5.00g,https://foods.fatsecret.com/calories-nutrition/galbani/cheese-stick
Albania,Imported Parmesan Shredded Cheese,Per 1/4 cup - Calories: 120kcal | Fat: 8.00g | Carbs: 1.00g | Protein: 10.00g,https://foods.fatsecret.com/calories-nutrition/galbani/imported-parmesan-shredded-cheese
Albania,Organic String Cheese,Per 1 stick - Calories: 90kcal | Fat: 7.00g | Carbs: 0.00g | Protein: 7.00g,https://foods.fatsecret.com/calories-nutrition/galbani/organic-string-cheese
Albania,Ricotta Fresca Low Fat,Per 1/4 cup - Calories: 50kcal | Fat: 2.00g | Carbs: 4.00g | Protein: 6.00g,https://foods.fatsecret.com/calories-nutrition/galbani/ricotta-fresca-low-fat
Albania,Grilling Cheese,Per 1 slice - Calories: 160kcal | Fat: 12.00g | Carbs: 2.00g | Protein: 11.00g,https://foods.fatsecret.com/calories-nutrition/galbani/grilling-cheese
Albania,Whole Milk Ricotta Cheese Double Cream,Per 1/4 cup - Calories: 130kcal | Fat: 11.00g | Carbs: 2.00g | Protein: 7.00g,https://foods.fatsecret.com/calories-nutrition/galbani/whole-milk-ricotta-cheese-double-cream
Albania,Ricotta,Per 100g - Calories: 169kcal | Fat: 13.00g | Carbs: 5.00g | Protein: 8.00g,https://foods.fatsecret.com/calories-nutrition/galbani/ricotta
Albania,All Natural Parmesan Shredded Cheese,Per 1/4 cup - Calories: 110kcal | Fat: 7.00g | Carbs: 1.00g | Protein: 10.00g,https://foods.fatsecret.com/calories-nutrition/galbani/all-natural-parmesan-shredded-cheese
Albania,Mozzarella,Per 100g - Calories: 231kcal | Fat: 17.00g | Carbs: 3.00g | Protein: 16.50g,https://foods.fatsecret.com/calories-nutrition/galbani/mozzarella
