country_id,Year,Date,City,AQI,PM2.5 (µg/m³),PM10 (µg/m³),NO2 (ppb),SO2 (ppb),CO (ppm),O3 (ppb),Temperature (°C),Humidity (%),Wind Speed (m/s)
1,2024,01/01/2024,New York,38,120,182.9,24.3,26,9.1,153.3,18.6,40,13.2
1,2024,01/01/2024,Los Angeles,280,38.4,46.9,41.8,34.7,3.78,190.7,-2.2,59,9.5
2,2024,01/01/2024,London,117,168.1,34.3,81.5,8.2,3.67,105.4,36.3,62,3.4
3,2024,01/01/2024,Beijing,197,96.8,35.4,18.5,39.4,9.51,92.8,29.9,32,1.8
4,2024,01/01/2024,Delhi,187,76.2,226.8,46.9,17.2,1.02,68.4,9.9,55,3.3
5,2024,01/01/2024,Paris,170,217.6,278,21.7,45.2,1.77,125.2,37.4,67,1.4
6,2024,01/01/2024,Tokyo,177,16.1,296.5,9.5,46,3.75,103.4,15.5,43,1.8
7,2024,01/01/2024,Sydney,164,42,81.8,26.1,18.4,5.48,79.9,-6.8,81,14.3
8,2024,01/01/2024,São Paulo,123,46.7,104.5,6.4,19.7,1.08,49.9,7.1,10,5.3
9,2024,01/01/2024,Cairo,241,103.6,217.9,74.4,16.4,1.25,190.9,37.5,23,14
9,2024,02/01/2024,Cairo,271,123.8,155.5,46.3,35.2,1.16,34.6,-1.5,90,1.5
8,2024,02/01/2024,São Paulo,114,234.1,30.1,57.4,4.5,7.47,82.9,8,56,2
7,2024,02/01/2024,Sydney,199,146.1,160.3,14.4,5.7,1.76,65.7,-5.5,34,12.3
6,2024,02/01/2024,Tokyo,106,58.7,270.8,79,2.7,0.87,72,12.7,66,0.8
5,2024,02/01/2024,Paris,102,106.2,201.2,92.5,10.4,2.34,182.8,3.2,69,2.7
1,2024,02/01/2024,Los Angeles,257,43.1,249.5,72.5,26.9,8.65,115.8,26.4,15,5.3
3,2024,02/01/2024,Beijing,269,184.4,198.7,5.3,43.4,3.87,151.4,38.4,16,0.7
2,2024,02/01/2024,London,116,86.1,35.2,67.4,16.6,7.95,104.8,6.8,13,13.4
1,2024,02/01/2024,New York,32,69.7,179.1,28.1,43.2,8.04,114.3,38.2,73,1.7
4,2024,02/01/2024,Delhi,36,105.1,148.1,18.8,20.7,0.57,148.2,-0.3,88,4.7
7,2024,03/01/2024,Sydney,68,100.8,292.4,6.9,9.1,6.28,19,23.2,87,8.2
9,2024,03/01/2024,Cairo,181,67.9,105.6,23.1,8.1,8.22,136.7,11.2,22,10.4
8,2024,03/01/2024,São Paulo,290,211.9,227.3,31.8,46.9,6.93,180.7,-9.9,37,7.7
5,2024,03/01/2024,Paris,124,83.3,77.8,20.2,19.8,8.29,57.4,14,84,4.5
6,2024,03/01/2024,Tokyo,120,23.8,164.6,56.3,27.3,4.38,116.5,19.7,23,10.9
3,2024,03/01/2024,Beijing,140,154.6,197.4,27.4,41.4,7.51,161.3,18.3,52,0.9
4,2024,03/01/2024,Delhi,37,103.1,252,89.2,42.1,8.81,52.7,9.9,68,8.2
2,2024,03/01/2024,London,244,124.4,211.6,94,43.2,1.72,192.8,29.7,63,3.6
1,2024,03/01/2024,Los Angeles,291,225.9,97.7,74,48.9,0.66,16.9,21.5,65,3.3
1,2024,03/01/2024,New York,251,99,102.8,85.5,34.2,2.28,160.9,-7.3,60,12.3
8,2024,04/01/2024,São Paulo,81,43.3,101.2,24.8,47.8,1.28,155.5,39.6,80,6.8
7,2024,04/01/2024,Sydney,256,138.1,272.6,68.6,35.3,0.17,134.7,8.2,90,14.3
6,2024,04/01/2024,Tokyo,98,95,133.3,65.8,20.6,9.26,122.4,15.7,30,6.1
5,2024,04/01/2024,Paris,297,105.1,29.3,85.8,12.6,4.45,168,20.8,37,6
9,2024,04/01/2024,Cairo,197,47.2,24.6,98,23.3,4.91,29.3,23.6,68,13.9
3,2024,04/01/2024,Beijing,175,72.1,173.3,51.7,27.8,4.23,106.3,19.3,15,1.2
2,2024,04/01/2024,London,289,161.7,17.9,96.9,25.1,7.44,175.1,37.8,73,14.9
1,2024,04/01/2024,Los Angeles,187,42.4,122.9,10.6,5.4,8.08,37.4,21.6,47,5.1
1,2024,04/01/2024,New York,171,246.7,190,89.8,27.3,1.26,163.8,-7.4,74,12.2
4,2024,04/01/2024,Delhi,89,155.9,214.6,85.6,17.9,6.42,166.2,-7.9,54,4.3
9,2024,05/01/2024,Cairo,282,105.7,205.7,45.4,49.9,4.68,42.6,-9.9,90,6.5
8,2024,05/01/2024,São Paulo,183,188.4,278.6,61.8,13.5,3.99,68.8,28.8,63,4.7
7,2024,05/01/2024,Sydney,250,108.8,184.2,35.2,15.7,1.97,34.2,2.1,42,12.9
6,2024,05/01/2024,Tokyo,217,200.5,129.1,41,29.5,8.34,116.1,21.8,30,9.8
5,2024,05/01/2024,Paris,35,249.2,179.8,36.8,40,1.36,76.6,8.6,25,12
4,2024,05/01/2024,Delhi,56,29.9,154.9,26.5,35.5,1.54,188.3,-6.3,53,2.8
2,2024,05/01/2024,London,261,95.8,31.1,75.7,8.8,7.33,22.5,3.2,51,6.1
1,2024,05/01/2024,Los Angeles,181,221.7,82.4,40.7,3.5,1.9,25.2,-7.7,27,6.4
1,2024,05/01/2024,New York,169,246.2,98.8,26.2,37,2.39,78.6,6,88,14.2
3,2024,05/01/2024,Beijing,147,218.2,55.4,52.9,28.8,2.19,140.1,30.1,78,13.7
6,2024,06/01/2024,Tokyo,290,30.5,19,45.9,41.9,6.71,58.9,-9.7,55,7.1
9,2024,06/01/2024,Cairo,170,78.5,255.2,53.7,43.8,8.04,144.4,13.1,25,11.9
8,2024,06/01/2024,São Paulo,228,114.8,65.4,97.7,10.3,6.55,146.8,-3.7,85,7.6
5,2024,06/01/2024,Paris,220,234.6,248.9,53.7,32.4,2.93,153.7,-1.2,16,4.3
7,2024,06/01/2024,Sydney,67,103.7,263.6,91.7,39.7,1.51,84.5,-6.4,51,11.3
3,2024,06/01/2024,Beijing,105,142.7,28.2,60.4,49.2,5.93,78.5,1.7,55,10.4
1,2024,06/01/2024,New York,92,22,52.1,24.4,46.2,1.24,111.1,24.8,34,0.8
1,2024,06/01/2024,Los Angeles,235,6.8,76.6,15.3,49.5,8.92,88.7,6.7,72,14.3
4,2024,06/01/2024,Delhi,92,32.8,81.5,57.5,27.3,6.86,178,35.7,86,7.3
2,2024,06/01/2024,London,152,100.4,141.9,68.2,28,6.74,171.3,13.3,35,10.7
8,2024,07/01/2024,São Paulo,159,158.5,52.6,37.1,34.3,5.23,69.1,0.5,53,1.9
7,2024,07/01/2024,Sydney,54,222.1,57.8,59.6,30.2,7.43,87.9,39.1,81,9.6
6,2024,07/01/2024,Tokyo,179,172.7,63.3,23.7,3.4,4.68,105.1,37.5,35,8.4
5,2024,07/01/2024,Paris,94,238.5,276.4,77.5,7.5,7.43,92.4,21.2,36,12.5
9,2024,07/01/2024,Cairo,224,155.2,189.5,30.6,39.7,1.22,148.1,36.1,72,2.6
3,2024,07/01/2024,Beijing,100,52.1,103.1,74.6,41.7,2.7,148.7,-9.7,10,8.8
2,2024,07/01/2024,London,120,98.5,128,42.6,16.7,1.36,70,10.1,12,1.4
1,2024,07/01/2024,Los Angeles,93,14.2,163.8,77.2,11.5,2.62,143.3,35.5,21,8.4
1,2024,07/01/2024,New York,121,239.5,155.3,21.6,35.6,0.25,195.7,38.4,24,2.1
4,2024,07/01/2024,Delhi,278,213.9,254,31.5,20.9,9.09,68.2,-0.3,83,3.2
9,2024,08/01/2024,Cairo,298,95.7,245.2,6.4,15.8,0.71,145.8,24,38,3
8,2024,08/01/2024,São Paulo,89,184.4,25.6,99.1,14.7,6.49,161.1,14.6,67,3
7,2024,08/01/2024,Sydney,102,240.6,149.9,90.6,33.6,7.09,73.9,26.6,13,13.5
6,2024,08/01/2024,Tokyo,183,66.8,288.9,23.9,43.3,7.72,75.6,-5.7,29,1.6
5,2024,08/01/2024,Paris,173,119,269.8,14.7,16,7.99,14.8,35.9,26,1
4,2024,08/01/2024,Delhi,264,154.6,72.4,27.1,7.9,1.17,84.6,16.5,73,0.7
2,2024,08/01/2024,London,210,237.2,21.8,83.4,11.1,4.4,181.4,8.2,42,4.1
1,2024,08/01/2024,New York,273,100.6,61.2,88.6,7,7.13,18.4,25.3,16,4
3,2024,08/01/2024,Beijing,283,122.4,24.7,75.4,32.3,2.56,22.3,8.7,59,2.3
1,2024,08/01/2024,Los Angeles,166,174.6,189.6,11.8,46.4,5.15,166.6,3.3,12,1.4
9,2024,09/01/2024,Cairo,285,144.9,55.6,34,23.5,0.16,129.9,2.1,27,11.6
5,2024,09/01/2024,Paris,222,122.9,244.3,36.9,35,0.41,48.9,27.4,22,3.3
8,2024,09/01/2024,São Paulo,297,177.8,131.6,45.9,48.1,7.83,119.3,7.2,69,13.7
7,2024,09/01/2024,Sydney,59,123.5,159.8,13.9,47.1,6.51,37.5,26.3,72,8.5
6,2024,09/01/2024,Tokyo,166,78.5,269.3,15.8,33.3,5.63,158.4,33.5,12,6.6
4,2024,09/01/2024,Delhi,186,151.2,75.5,70.8,34.8,1.52,140.8,6.3,69,13.2
2,2024,09/01/2024,London,117,190.7,29.1,82.2,6.5,1.09,70.2,39.3,11,13.6
1,2024,09/01/2024,Los Angeles,220,168,121.1,47.2,48.8,6.45,70.7,4.9,35,10
1,2024,09/01/2024,New York,159,168.5,162.7,77.5,10.6,5.67,153.4,30.6,45,3.1
3,2024,09/01/2024,Beijing,246,54.2,18.8,50.5,3.3,8.97,77.1,18.1,19,14.9
9,2024,10/01/2024,Cairo,79,125.4,247.1,85.2,18.6,8.21,159.5,30.1,38,7.8
8,2024,10/01/2024,São Paulo,273,84,201.5,69.9,45,8.17,92.8,27,71,6.7
7,2024,10/01/2024,Sydney,185,54.3,263.2,27.9,27.8,0.63,185.8,-2.5,76,4.4
6,2024,10/01/2024,Tokyo,143,50.4,144.2,54.8,34.4,2.4,172,7.8,39,1.8
5,2024,10/01/2024,Paris,49,189.8,279,13.8,15.1,8.55,123.3,18.7,76,3.5
3,2024,10/01/2024,Beijing,157,205.8,225.7,68.8,25.2,9.63,19.9,10.9,14,13.9
2,2024,10/01/2024,London,118,92.2,236.4,85.9,19.2,2.52,79.5,17.8,52,9.3
1,2024,10/01/2024,Los Angeles,30,245.2,202.4,56.4,4.3,2.81,161.4,16.7,73,6.3
1,2024,10/01/2024,New York,125,167.1,132.7,87.2,48.5,3.89,118.8,-7.5,21,3.8
4,2024,10/01/2024,Delhi,50,219.6,267.4,71.6,46.1,8.99,158.6,3.6,39,1.8
6,2024,11/01/2024,Tokyo,55,133.4,174.3,58.5,11.1,5.26,148.9,27.3,29,7.3
9,2024,11/01/2024,Cairo,161,222.3,211.7,67.6,29.9,1.04,114.9,16,59,13.5
8,2024,11/01/2024,São Paulo,179,219.7,35.2,98.8,36,8.34,176.2,35.5,56,11.7
7,2024,11/01/2024,Sydney,285,61.5,153.5,79.5,27.4,1.56,130,20.2,71,3.2
5,2024,11/01/2024,Paris,120,185.4,247.6,39.6,26.9,6.94,186,2.5,54,12
1,2024,11/01/2024,New York,78,41.5,94,75.5,19.3,1.18,197.3,18.1,50,5.3
3,2024,11/01/2024,Beijing,150,100.7,15.8,90.4,41.1,0.53,116.3,-8.2,37,3
2,2024,11/01/2024,London,292,121,22.9,30.2,12.5,7.01,189.8,15.6,44,6.8
1,2024,11/01/2024,Los Angeles,66,152.2,211,5.3,20.4,5.1,33,-1.6,78,2.3
4,2024,11/01/2024,Delhi,171,75.9,98.5,77.5,3.7,3.78,165.1,10.4,82,12.5
6,2024,12/01/2024,Tokyo,103,81.1,62,73,45.3,0.13,175.6,23.5,49,1.2
9,2024,12/01/2024,Cairo,296,44.6,164.2,45.4,16.7,9.85,176.2,-8,51,6.5
8,2024,12/01/2024,São Paulo,250,230.9,262.9,55.5,39.1,4.82,153.9,7.7,67,13.3
7,2024,12/01/2024,Sydney,131,76.1,141.6,32.3,4.1,4.38,21.7,-8.1,86,11.7
5,2024,12/01/2024,Paris,264,179.9,80,41.3,35.3,7.78,183.4,2.1,76,4
1,2024,12/01/2024,Los Angeles,132,164.5,66,5.3,25.5,8.21,39.2,39.6,61,4.3
3,2024,12/01/2024,Beijing,80,69.4,252.4,6.5,9.4,3.37,78.9,3.2,82,11.2
2,2024,12/01/2024,London,197,184.2,156.4,18.7,41.7,9.29,86.1,20.1,19,11.5
4,2024,12/01/2024,Delhi,177,41.7,205,85.6,17.6,6.34,13.9,15.6,86,14.9
1,2024,12/01/2024,New York,74,161.8,93.3,29.7,22.8,9.14,17.8,29.9,22,3.7
9,2024,13/01/2024,Cairo,192,97.7,199,25.1,16.4,0.43,29.3,-7.3,10,4.9
8,2024,13/01/2024,São Paulo,265,211.5,257.6,30.2,43.6,4.83,60,22.2,68,3.5
7,2024,13/01/2024,Sydney,92,112,139.1,42.4,43.8,6.08,105.5,17.6,77,6.6
6,2024,13/01/2024,Tokyo,114,156.8,14.8,60.2,40.2,6.23,174.4,22.7,40,1.1
5,2024,13/01/2024,Paris,183,221,102.1,35.7,45.7,8.17,147.6,20.8,30,8.3
4,2024,13/01/2024,Delhi,214,216.8,251.1,75,44.7,4.48,31.8,14.4,38,4
3,2024,13/01/2024,Beijing,219,76.2,121.4,43.7,41.5,1.26,180,8.1,35,4.2
2,2024,13/01/2024,London,72,168.5,58.3,48.7,48.1,2.69,82.4,0.3,32,10.4
1,2024,13/01/2024,Los Angeles,289,69.5,137.3,33.4,20.1,1.18,21.3,35.9,90,13.9
1,2024,13/01/2024,New York,136,108.9,46,39.8,14.4,9.1,187,-3.2,45,8.9
8,2024,14/01/2024,São Paulo,265,83.1,228.5,51.2,31.7,8.95,97.5,34.7,58,8.6
7,2024,14/01/2024,Sydney,124,244,268.8,76.7,34.5,1.87,138.2,39.7,33,6.4
6,2024,14/01/2024,Tokyo,120,153.5,167,27.1,25.1,6.02,120.7,4.7,86,3.8
5,2024,14/01/2024,Paris,160,242.9,76.7,75.8,36.1,4.87,112.2,19.8,73,8.3
9,2024,14/01/2024,Cairo,101,75.6,34.7,38.6,24.4,8.9,20,-2.4,29,13.6
