country_id,Year,disease_id,Prevalence,Incidence,Mortality,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Recovery Rate (%),Improvement in 5 Years (%),Urbanization Rate (%)
1,2024,1.0,4.95,13.4,4.89,501957.0,77.37,1.89,1.74,69.35,5.11,30.2
1,2024,1.0,16.25,7.64,7.56,791216.0,88.43,0.62,9.99,65.96,3.63,26.72
1,2024,1.0,0.69,14.54,7.8,957737.0,68.12,3.22,8.48,70.16,3.76,34.72
1,2024,1.0,17.91,12.1,3.97,960185.0,75.84,2.01,2.26,62.42,6.26,64.29
1,2024,1.0,6.49,5.23,3.11,48917.0,58.65,3.31,6.72,73.37,9.27,20.96
1,2024,2.0,3.28,2.25,4.44,200890.0,99.53,0.77,2.42,66.02,3.12,30.26
1,2024,2.0,19.9,2.96,5.89,426363.0,84.18,2.32,8.06,64.94,6.83,84.98
1,2024,1.0,10.23,2.45,4.49,955628.0,88.92,2.59,3.35,98.43,5.94,58.04
1,2024,1.0,18.39,12.75,6.67,705229.0,85.64,2.86,5.08,75.95,1.26,82.43
1,2024,3.0,14.19,14.93,2.16,509129.0,65.68,3.16,8.74,72.21,6.47,79.31
1,2024,4.0,4.52,13.69,2.28,75567.0,85.21,4.14,8.54,56.06,8.92,76.02
1,2024,4.0,7.57,12.86,6.04,883926.0,56.34,3.51,8.47,64.01,5.83,83.84
1,2024,4.0,16.46,9.66,3.69,476950.0,92.78,1.97,7.64,57.72,9.94,20.43
1,2024,1.0,5.41,0.43,8.66,719805.0,62.51,4.47,9.02,91.33,3.19,63.72
1,2024,2.0,4.27,5.74,1.12,67507.0,71.3,3.2,5.17,58.77,5.01,40.42
1,2024,3.0,3.66,8.43,5.1,271203.0,57.81,1.4,9.84,65.82,5.77,61.74
1,2024,1.0,6.39,9.4,2.94,431103.0,55.62,2.89,2.62,86.47,1.07,60.14
1,2024,2.0,7.21,8.77,0.37,257023.0,54.8,2.28,7.52,56.41,6.0,29.93
1,2024,2.0,1.0,0.2,3.04,928465.0,87.81,1.08,4.89,72.96,8.22,88.97
1,2024,2.0,7.94,6.92,4.82,455425.0,71.62,2.21,8.99,71.86,0.3,82.79
1,2024,1.0,2.29,4.84,3.51,691896.0,65.94,3.66,2.44,83.79,0.12,74.19
1,2024,1.0,1.85,7.23,2.93,937260.0,90.71,1.42,9.3,53.56,3.35,27.54
1,2024,3.0,7.25,9.66,5.38,932790.0,50.16,4.99,0.66,82.69,5.63,37.7
1,2024,2.0,7.99,3.25,3.54,166008.0,60.54,1.77,6.26,78.53,9.8,54.71
1,2024,4.0,3.24,2.86,2.1,976473.0,87.05,1.6,5.47,67.9,7.68,89.44
1,2024,4.0,6.87,13.19,8.77,13057.0,98.38,4.18,4.85,84.76,2.0,42.43
1,2024,4.0,9.08,4.53,3.48,373731.0,75.06,0.61,0.85,56.35,1.57,21.26
1,2024,4.0,9.68,1.41,8.01,21964.0,60.44,2.55,3.56,61.07,5.31,87.65
1,2024,3.0,2.22,14.81,5.68,559785.0,81.02,3.28,9.94,57.44,8.3,39.91
1,2024,4.0,12.94,3.92,0.55,807718.0,96.83,4.4,6.62,84.67,6.03,56.04
1,2024,4.0,15.3,11.53,4.11,878587.0,80.77,3.63,9.84,84.87,1.2,65.72
1,2024,2.0,9.55,12.4,7.68,688225.0,69.5,1.77,8.34,90.75,3.47,43.44
1,2024,2.0,16.37,4.61,1.08,430112.0,90.73,2.78,8.39,80.05,1.8,76.46
1,2024,3.0,15.25,10.86,7.54,376405.0,51.02,3.05,3.58,75.16,4.48,26.33
1,2024,4.0,8.8,8.72,5.81,165670.0,88.0,1.99,1.53,77.88,7.6,33.59
1,2024,1.0,16.74,10.9,4.23,78083.0,97.04,1.74,0.98,87.31,6.03,42.2
1,2024,3.0,9.23,0.34,7.76,512527.0,98.45,3.96,0.56,94.39,5.62,20.2
1,2024,4.0,2.01,8.72,2.38,281090.0,75.22,2.57,6.04,51.34,5.79,77.66
1,2024,2.0,7.05,5.05,3.05,581920.0,95.27,2.59,5.55,61.3,3.99,41.75
1,2024,4.0,11.56,1.72,5.99,515243.0,83.67,3.64,7.32,85.91,9.59,35.19
1,2024,2.0,6.56,11.2,0.79,159314.0,60.26,0.95,4.39,73.09,6.16,85.58
1,2024,4.0,14.47,9.24,5.79,630310.0,62.55,1.92,5.47,84.49,6.35,42.97
1,2024,1.0,2.18,0.48,1.34,892051.0,66.21,2.61,4.33,87.06,0.15,54.91
1,2024,1.0,18.31,6.88,3.74,791737.0,71.09,0.68,6.82,98.87,6.37,63.78
1,2024,3.0,9.01,7.2,1.66,366152.0,85.49,3.72,5.13,98.62,1.87,55.13
1,2024,3.0,14.94,8.92,5.13,201378.0,79.75,2.17,9.38,75.51,8.72,25.37
1,2024,2.0,4.23,0.17,5.51,682514.0,60.11,4.03,1.88,54.63,6.83,39.62
1,2024,1.0,3.74,2.32,4.29,716194.0,85.14,3.58,1.42,77.72,3.35,81.17
1,2024,2.0,18.82,13.43,8.11,914409.0,88.98,1.28,4.07,84.58,7.08,24.44
1,2024,1.0,15.33,6.64,5.39,514860.0,93.3,1.96,5.48,91.68,6.25,62.72
1,2024,1.0,6.8,9.05,6.21,539955.0,67.06,1.45,6.17,98.66,8.3,54.18
1,2024,4.0,16.48,8.47,0.59,161972.0,83.39,2.36,4.05,83.46,5.27,71.19
1,2024,4.0,10.9,6.91,8.29,546623.0,94.86,1.75,2.09,83.71,6.89,23.78
1,2024,3.0,12.25,6.22,5.05,48955.0,95.61,1.12,3.2,66.7,9.64,28.55
1,2024,3.0,0.82,8.4,0.78,699090.0,73.75,2.87,9.22,52.67,6.09,61.89
1,2024,1.0,6.79,0.75,0.89,732605.0,98.91,0.9,2.74,90.5,1.49,49.69
1,2024,4.0,8.03,3.8,9.63,172819.0,58.59,1.4,4.01,97.23,7.48,49.74
1,2024,2.0,3.72,12.95,2.39,868720.0,81.42,2.05,7.35,85.91,3.46,87.99
1,2024,4.0,8.34,1.03,1.4,20972.0,90.78,4.25,8.54,95.52,1.34,41.54
1,2024,1.0,16.67,0.19,0.92,236457.0,64.84,2.84,3.25,93.7,8.7,37.81
1,2024,2.0,8.81,9.06,3.38,756218.0,90.69,2.84,2.32,67.31,9.75,29.14
1,2024,2.0,0.34,2.71,1.72,784995.0,59.47,2.34,2.26,68.98,9.27,21.6
1,2024,1.0,9.1,9.08,4.36,748562.0,83.76,2.23,7.04,98.77,8.34,66.49
1,2024,4.0,10.7,2.33,3.21,439056.0,68.63,3.5,0.87,93.51,7.44,67.99
1,2024,4.0,0.74,8.81,0.75,252869.0,57.08,1.89,6.64,78.55,2.04,66.17
1,2024,2.0,3.92,2.91,6.86,219991.0,70.69,1.41,9.51,75.91,0.88,49.69
1,2024,2.0,12.89,9.38,2.7,866028.0,71.55,3.41,2.83,51.75,1.5,89.63
1,2024,1.0,8.8,4.53,2.84,777562.0,86.64,4.77,2.03,89.43,6.41,68.04
1,2024,4.0,7.52,14.5,1.3,342514.0,85.0,1.13,7.72,64.63,3.54,56.35
1,2024,1.0,2.67,3.53,4.7,327583.0,80.8,2.08,4.7,97.55,7.15,62.79
1,2024,1.0,14.58,9.39,1.26,322731.0,77.24,1.13,6.07,53.57,1.18,30.01
1,2024,2.0,9.52,2.75,4.92,464895.0,93.09,2.86,6.81,70.51,2.25,70.42
1,2024,3.0,5.19,2.29,6.33,171687.0,83.23,4.43,3.54,97.93,3.35,55.5
1,2024,1.0,16.8,8.41,5.91,221673.0,74.0,1.2,4.97,84.39,6.48,29.01
1,2024,1.0,10.95,4.7,8.76,924598.0,50.57,2.88,4.92,81.69,1.32,34.85
1,2024,1.0,11.86,8.45,3.75,458160.0,57.1,1.09,9.39,65.27,1.3,58.14
1,2024,2.0,13.95,4.94,8.13,686543.0,62.39,1.63,2.88,60.53,2.57,59.34
1,2024,2.0,2.0,5.47,5.66,633318.0,97.17,4.17,1.09,92.95,1.13,80.67
1,2024,3.0,2.62,4.56,3.83,988881.0,93.71,0.9,0.52,95.63,5.61,55.35
1,2024,2.0,15.97,5.98,8.35,174032.0,61.71,4.06,1.2,67.45,7.7,37.17
2,2024,1.0,7.51,14.72,3.66,691766.0,64.71,1.46,3.07,73.34,5.25,23.21
2,2024,1.0,9.15,0.75,2.98,237517.0,82.39,1.93,8.33,53.33,9.69,25.56
2,2024,2.0,9.49,6.6,5.74,231594.0,51.29,4.72,2.44,68.23,8.13,24.43
2,2024,1.0,12.0,11.27,9.86,624587.0,94.17,3.22,8.84,92.88,8.35,61.3
2,2024,2.0,15.74,10.49,9.0,350406.0,73.35,2.57,5.34,67.71,4.71,33.14
2,2024,1.0,12.87,10.61,1.22,281534.0,67.91,0.87,8.92,77.89,3.1,83.16
2,2024,3.0,18.23,4.27,7.95,166577.0,59.61,4.54,2.5,72.08,2.53,30.4
2,2024,1.0,17.25,0.22,7.66,526713.0,68.08,4.24,9.87,55.17,1.69,22.83
2,2024,3.0,9.13,2.12,9.37,239509.0,67.53,1.75,5.02,68.11,2.43,41.82
2,2024,2.0,18.72,1.22,7.77,915193.0,77.77,1.75,5.55,56.41,0.2,69.13
2,2024,4.0,10.02,4.71,8.46,564369.0,95.45,2.22,9.94,55.3,9.82,56.39
2,2024,4.0,2.39,2.97,1.78,974616.0,72.23,3.42,3.52,60.54,3.37,36.87
2,2024,1.0,18.96,10.46,9.98,824674.0,52.45,2.61,7.41,67.68,2.13,35.21
2,2024,2.0,4.37,11.22,4.15,5215.0,87.37,4.59,2.41,98.76,6.62,41.25
2,2024,1.0,16.07,13.26,9.16,104599.0,88.05,1.52,3.15,95.83,5.15,82.67
2,2024,4.0,12.56,9.95,9.28,699805.0,59.12,0.58,6.32,91.26,0.3,73.91
2,2024,2.0,15.16,14.16,2.97,385492.0,88.35,1.17,1.59,77.56,3.63,26.92
2,2024,4.0,11.35,14.05,9.37,423275.0,70.79,2.24,3.82,83.66,2.58,65.88
2,2024,1.0,15.98,14.83,6.68,723683.0,56.47,4.74,2.8,95.55,0.2,54.39
2,2024,4.0,1.14,11.97,6.25,401781.0,61.03,2.38,3.93,62.32,5.45,71.55
2,2024,2.0,11.0,13.59,0.86,427875.0,84.4,4.4,9.85,98.51,6.23,68.63
2,2024,4.0,10.07,1.76,4.02,189905.0,65.69,0.7,7.36,61.77,6.03,32.97
2,2024,3.0,19.0,4.51,7.3,500845.0,83.98,2.64,3.17,62.2,6.15,58.49
2,2024,4.0,6.2,1.54,7.25,96268.0,69.94,1.1,5.01,93.08,8.57,56.33
2,2024,2.0,5.98,3.65,7.24,557394.0,87.57,1.13,6.09,53.57,6.72,53.49
2,2024,2.0,4.93,4.03,4.75,457055.0,98.87,1.89,5.22,89.78,3.44,27.46
2,2024,2.0,7.14,1.01,3.85,908094.0,73.28,2.34,2.47,78.45,0.27,34.84
2,2024,1.0,18.99,1.52,9.45,502910.0,50.22,3.58,6.1,69.56,6.22,55.93
2,2024,4.0,13.59,11.37,3.24,27309.0,86.46,0.7,1.7,57.0,8.96,27.07
2,2024,2.0,15.55,8.4,5.17,604401.0,60.09,1.51,1.75,86.34,5.49,43.91
2,2024,1.0,3.46,4.83,0.9,947458.0,96.71,2.53,8.91,83.95,4.77,46.29
2,2024,2.0,17.11,1.85,5.99,775340.0,68.79,3.95,9.19,59.18,0.45,29.07
2,2024,3.0,3.83,9.89,5.11,991748.0,74.83,3.11,6.38,53.97,8.69,80.06
2,2024,1.0,16.99,0.7,3.48,768327.0,61.83,1.21,7.21,50.47,4.92,54.14
2,2024,1.0,2.51,14.51,2.69,77445.0,92.5,3.89,4.29,61.85,8.66,57.83
2,2024,4.0,3.7,2.61,2.1,622901.0,56.58,4.5,2.33,57.87,9.98,68.03
2,2024,1.0,9.16,7.75,7.46,926143.0,96.42,4.25,8.19,81.63,2.18,75.83
2,2024,2.0,9.66,14.51,8.1,486254.0,54.15,4.9,9.89,66.9,3.26,59.66
2,2024,3.0,8.37,11.54,4.91,925248.0,76.98,4.96,7.16,57.28,8.28,22.35
2,2024,2.0,17.33,0.82,7.94,755252.0,57.61,2.06,7.98,82.65,3.77,50.75
2,2024,1.0,2.1,0.74,3.29,994109.0,61.98,1.89,2.7,77.78,5.98,45.03
2,2024,4.0,2.29,6.13,6.24,481393.0,83.99,1.46,7.09,91.37,6.7,44.4
2,2024,2.0,19.29,10.51,5.59,861006.0,62.39,1.39,6.41,86.27,2.42,62.69
2,2024,3.0,12.49,2.55,3.96,804359.0,68.25,4.64,2.96,76.42,4.17,86.12
2,2024,2.0,19.38,11.47,1.14,240475.0,67.42,3.31,6.52,93.03,9.2,20.85
2,2024,2.0,8.54,2.99,0.48,719696.0,88.96,3.04,6.74,65.75,9.74,40.29
2,2024,3.0,18.47,5.25,9.59,402351.0,65.43,1.97,7.22,88.87,0.52,21.44
2,2024,3.0,8.45,9.84,3.77,404903.0,89.24,3.07,3.55,50.31,6.38,52.1
2,2024,3.0,15.67,1.51,4.08,31468.0,83.38,0.97,8.7,66.35,3.43,46.25
2,2024,1.0,16.82,11.06,7.49,793289.0,57.85,4.2,0.81,80.32,7.71,44.4
2,2024,4.0,16.27,3.66,5.62,116183.0,80.89,0.94,6.9,78.82,6.04,40.7
2,2024,4.0,16.68,9.45,7.36,72836.0,67.8,3.6,1.96,57.74,7.0,38.57
3,2024,4.0,6.8,12.66,6.49,944895.0,73.46,4.64,7.84,50.06,2.83,21.1
3,2024,4.0,1.98,10.31,5.41,697314.0,63.9,0.77,2.73,90.1,6.91,76.4
3,2024,4.0,2.41,10.35,2.82,530589.0,78.83,3.88,1.01,59.06,1.16,73.47
3,2024,2.0,14.7,4.7,0.4,466889.0,94.57,3.51,6.82,75.97,2.69,35.16
3,2024,1.0,19.31,14.12,9.2,995870.0,63.83,4.14,5.57,55.91,4.35,37.97
3,2024,1.0,12.33,5.36,0.66,410728.0,94.04,3.06,5.6,73.76,1.94,21.27
3,2024,4.0,5.9,1.56,3.36,480426.0,68.47,4.91,1.49,78.87,9.57,30.64
3,2024,2.0,10.86,5.45,3.64,15903.0,99.42,2.7,7.73,88.95,3.05,36.86
3,2024,4.0,1.73,2.2,1.36,17840.0,90.6,2.6,7.92,66.65,1.68,54.57
3,2024,4.0,7.43,1.05,5.64,97157.0,68.38,1.45,0.79,87.88,9.95,48.95
3,2024,1.0,10.17,8.3,5.7,755305.0,53.4,4.22,7.68,89.2,7.25,84.97
3,2024,4.0,10.2,1.43,9.19,832360.0,70.78,4.26,7.35,88.32,1.8,44.59
3,2024,3.0,8.45,0.33,1.57,34370.0,55.73,2.79,7.2,94.11,7.6,32.09
3,2024,1.0,6.81,1.22,0.32,665654.0,84.15,4.89,1.35,54.3,2.94,30.48
3,2024,2.0,6.08,7.92,1.5,660411.0,59.16,1.72,4.13,52.95,8.34,27.02
3,2024,1.0,13.21,3.16,2.08,899011.0,85.19,0.93,5.77,50.17,5.6,59.16
3,2024,2.0,9.42,11.2,9.65,467145.0,87.57,0.59,0.69,78.07,7.57,49.82
3,2024,4.0,16.37,6.24,0.3,133314.0,65.9,4.51,7.37,63.66,8.16,22.8
3,2024,4.0,1.22,10.49,9.18,378559.0,71.61,3.77,4.49,59.84,6.46,32.24
3,2024,2.0,8.75,7.5,1.24,514235.0,97.94,2.1,8.84,74.68,4.1,70.45
3,2024,2.0,19.17,4.79,5.19,607489.0,79.34,4.16,3.28,90.33,8.1,23.56
3,2024,3.0,12.25,7.18,8.21,639024.0,96.85,2.6,7.03,87.11,9.19,23.91
3,2024,3.0,19.03,6.54,5.1,740501.0,94.61,0.97,1.42,54.61,0.74,84.92
3,2024,1.0,9.13,14.35,7.69,516312.0,90.51,4.57,2.41,90.31,1.96,61.17
3,2024,4.0,4.39,2.4,8.84,831367.0,83.15,1.14,2.6,83.34,5.06,79.33
3,2024,2.0,5.88,4.22,4.93,77541.0,54.51,2.08,2.76,87.83,9.34,56.68
